timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,1.27581e-05,-1.67092e-05,-1.42243e-11,-0.000194759,-0.00100644,2.27199e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000885422,5.3303e-05,-1.36463e-08,-0.000259164,-0.00182389,2.01176e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00164871,-0.00161046,-1.39583e-07,0.00125868,-0.00251499,2.46785e-05,0.999996,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00112805,-0.0031361,-3.03284e-07,0.00264707,-0.00203338,4.67825e-05,0.999994,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000360746,-0.00212721,-3.20126e-07,0.00171809,-0.00132848,4.37171e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00332443,0.000873948,4.07377e-08,-0.00102634,0.0020385,7.1767e-05,0.999997,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00116136,0.00152742,1.38694e-08,-0.00162706,6.51518e-05,4.69513e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00100755,0.00392494,-7.24475e-07,-0.00381656,-7.36946e-05,8.08695e-05,0.999993,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000595245,0.00523605,-1.60287e-06,-0.00501317,-0.000448405,9.39422e-05,0.999987,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000816755,0.00266794,-1.09072e-06,-0.00267029,-0.000245,8.45171e-05,0.999996,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.0029496,0.00499476,-2.70751e-06,-0.00479443,0.00170109,4.81484e-05,0.999987,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00347964,0.00548553,-3.13002e-06,-0.00524077,0.0021832,5.03122e-05,0.999984,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00414797,0.00447915,-3.18808e-06,-0.00432148,0.00278925,2.38539e-05,0.999987,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00330102,0.00254136,-1.89739e-06,-0.00255211,0.00201401,3.97717e-05,0.999995,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00199974,0.00163387,-1.2439e-06,-0.00172352,0.000825392,0.000104798,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00195074,0.00158064,-1.66794e-06,-0.00167718,0.000779748,9.82744e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00206327,0.00153874,-2.15602e-06,-0.00164144,0.000880943,8.73328e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00190438,0.00248687,-2.61776e-06,-0.00250628,0.000734006,0.000118268,0.999997,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00237215,0.00200099,-2.68437e-06,-0.00206218,0.00115874,9.29521e-05,0.999997,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00233806,0.00141959,-2.61418e-06,-0.00153136,0.00112442,8.52344e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00251655,0.000597073,-2.3192e-06,-0.000782048,0.00128352,8.04045e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00197886,0.00130002,-1.90595e-06,-0.00142578,0.000789295,0.00010907,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.0015406,0.0012616,-1.64169e-06,-0.0013913,0.000385982,9.73286e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00100832,0.000972134,-1.68729e-06,-0.00112774,-0.000101608,8.29496e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00110302,0.000485738,-1.92162e-06,-0.000685009,-1.5887e-05,8.785e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00107221,0.000483464,-1.97045e-06,-0.000685614,-4.52952e-05,8.12894e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00116663,0.000319624,-1.96043e-06,-0.000537958,4.01897e-05,9.2255e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000846853,4.98126e-05,-1.71117e-06,-0.000294702,-0.000254365,8.45684e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00033678,-0.000126897,-1.58854e-06,-0.000139786,-0.000721682,1.40706e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,8.59187e-05,1.27349e-05,-1.31856e-06,-0.00027447,-0.000950702,-1.80316e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000297759,0.000270524,-5.34733e-07,-0.000514424,-0.000753471,-3.98791e-06,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000209747,6.47601e-05,-3.63835e-07,-0.000329082,-0.000832753,-1.87865e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,6.49221e-05,0.000116921,-4.36398e-07,-0.000380557,-0.000965395,-2.25942e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-8.30589e-05,2.54907e-05,-7.42133e-07,-0.000300331,-0.00110085,-4.67332e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-8.48147e-05,-0.000138883,-1.2182e-06,-0.000153285,-0.00110183,-4.07055e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,5.06778e-05,-3.55522e-05,-1.4301e-06,-0.000252726,-0.000976937,-1.79383e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-6.80861e-05,0.000102824,-1.52482e-06,-0.000385179,-0.00108733,-5.3911e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000126749,0.000229533,-1.43596e-06,-0.000505302,-0.00114125,-7.67552e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000206205,0.000258985,-1.54548e-06,-0.000534428,-0.00121366,-9.50811e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000209725,0.000344242,-1.3947e-06,-0.000615137,-0.00121559,-0.000119865,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000460246,0.000144219,-1.30967e-06,-0.00043178,-0.00144596,-0.00010812,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000506852,9.60084e-05,-9.24867e-07,-0.00038969,-0.00148538,-0.000109306,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000591029,4.9551e-05,-2.40737e-07,-0.000350283,-0.00155978,-0.000107545,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000539205,3.65706e-06,1.68549e-07,-0.000310744,-0.00150861,-9.39009e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000572615,-9.94046e-07,-1.7071e-07,-0.000308794,-0.00153643,-8.20244e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000581276,1.01924e-05,1.27023e-09,-0.000321191,-0.00154112,-7.3363e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000608951,-6.80521e-05,-4.36495e-09,-0.000249774,-0.00156441,-4.90712e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00062417,2.85527e-05,-2.91511e-07,-0.00034282,-0.00157584,-6.66884e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000508031,0.000211792,-1.99068e-07,-0.000516209,-0.00146603,-9.46202e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000501302,0.000494825,-3.38878e-07,-0.000758459,-0.00146304,-0.000167455,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000447136,0.000524568,-7.60914e-07,-0.000778925,-0.00142379,-0.000181877,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000440151,0.000510565,-7.09851e-07,-0.000764518,-0.00141408,-0.000166432,0.999999,0,0,0.6525,0,0,0.481129,0.87665
