timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,-6.45404e-05,-1.98183e-05,5.32579e-10,-0.00067448,-0.00108702,-2.42988e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000313769,-0.000605216,-1.16061e-08,-0.000143056,-0.00130964,5.55036e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.001978,0.000412013,-8.48447e-08,-0.0010754,0.000785599,7.94992e-07,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00345124,0.00153695,-3.5989e-07,-0.00210434,0.00213079,-1.71016e-05,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,0.00354085,-0.00119921,-3.11395e-07,0.000393315,0.00221218,6.66842e-06,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,0.0021074,-3.37577e-06,-7.38768e-08,-0.000701162,0.000903035,1.1e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000825114,-0.000817659,-2.524e-07,3.99207e-05,-0.000267927,2.09958e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00311354,-0.0018417,-9.12782e-07,0.000971536,0.00182032,4.70164e-06,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00400577,-0.000907772,-1.03881e-06,0.000115227,0.00263364,-5.47845e-07,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,0.0037487,-0.00230889,-1.02605e-06,0.00139136,0.00239614,-1.00504e-06,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,0.00171105,-0.00122554,-2.93442e-07,0.000398434,0.000534328,-1.98062e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.0026448,-0.000791766,-3.48827e-07,6.56941e-07,0.00138451,1.27353e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000524398,-0.000377304,5.23077e-07,-0.000380857,-0.000551367,-1.1862e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00194606,0.000352853,1.65643e-07,-0.00104755,0.000744,1.45411e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000235376,-0.000738611,-1.45586e-07,-5.39983e-05,-0.000817424,-9.16171e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,-3.68822e-05,-0.00036234,-4.21401e-07,-0.00039886,-0.00106564,3.11334e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000433556,-0.00105941,-4.83137e-07,0.000234972,-0.00142759,-6.94825e-07,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000404768,-0.000728192,-1.30076e-07,-7.04709e-05,-0.00140145,-1.27936e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000407449,0.000260181,2.86898e-07,-0.000975408,-0.00140428,-6.12112e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00134664,-0.000144099,-4.12535e-08,-0.000608289,-0.00226071,-6.46886e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00151312,0.000387376,1.45772e-07,-0.00109626,-0.00240959,-0.000110451,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.000417567,-4.70023e-05,6.96205e-07,-0.000699175,-0.00140737,-7.21544e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000470267,0.000164647,5.7756e-07,-0.000894062,-0.00145435,-0.000110388,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000851385,-1.85934e-05,9.90692e-07,-0.000725936,-0.00180108,-5.79973e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000564567,-8.22767e-05,1.22089e-06,-0.000668697,-0.00153721,-6.26447e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000354943,-0.000319373,8.56059e-07,-0.000452062,-0.00134417,-2.91332e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-8.91562e-06,-0.000477316,1.94647e-07,-0.000309094,-0.00102673,-3.71934e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00029542,-7.32544e-05,-1.7045e-07,-0.000683228,-0.000749664,-0.000156688,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000274315,-0.000387027,-2.48703e-07,-0.000393307,-0.000769932,-6.26439e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000481437,-0.00092099,-2.13346e-07,9.66047e-05,-0.000580765,4.85684e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000477178,-0.00100105,-3.84005e-07,0.000165981,-0.000586368,6.63137e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000828508,-0.00101621,7.8321e-09,0.000175217,-0.000266109,5.98216e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000773692,-0.000920887,5.85883e-07,8.27208e-05,-0.000319572,4.5997e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000519179,-0.00089726,1.05602e-06,5.68437e-05,-0.000555836,2.86852e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000471214,-0.000823203,1.48906e-06,-1.51965e-05,-0.000601426,2.79574e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.0002998,-0.00093405,1.33276e-06,8.37227e-05,-0.000759916,3.7913e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000177275,-0.000697118,8.56085e-07,-0.000138124,-0.000873082,2.47418e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,-6.26905e-05,-0.000734914,1.61645e-07,-0.000104961,-0.00109282,2.0473e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,8.68305e-05,-0.000500709,-1.63017e-07,-0.000322613,-0.000952312,4.71159e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000180835,-0.000501114,-3.13795e-07,-0.000322337,-0.00119888,4.28812e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-7.05816e-05,-0.00046809,-4.47317e-07,-0.000352515,-0.00109393,4.96207e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000260634,-0.000593486,-1.77789e-07,-0.00023767,-0.00126802,2.69592e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-7.81142e-05,-0.000427793,1.02357e-07,-0.000391952,-0.00109613,6.25057e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000125905,-0.000568556,4.39267e-07,-0.000262284,-0.00113941,4.68662e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000154955,-0.00056025,4.06233e-07,-0.000271728,-0.00116551,4.72322e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-8.2617e-05,-0.000538644,1.70786e-07,-0.000292587,-0.00109714,5.78671e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-5.62907e-05,-0.000444121,3.49776e-07,-0.000380523,-0.00107339,6.77464e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000154176,-0.000560339,5.03162e-07,-0.000272168,-0.0011655,6.32284e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000186222,-0.000608326,5.00223e-07,-0.000229175,-0.00119446,6.34652e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,3.31506e-06,-0.000345245,6.33689e-07,-0.000456045,-0.00102927,3.70209e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,6.23534e-05,-0.00036307,4.44563e-07,-0.000428226,-0.000967301,3.91965e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,2.95343e-05,-0.000347271,1.3165e-07,-0.000442585,-0.000999844,5.6794e-05,0.999999,0,0,0.6525,0,0,0,1
